scenario,dataset,filter,model,auprc,max_f1,method,contamination,n_estimators,nu,kernel,gamma
baseline,gold,aggressive,MD,0.775637593005116,0.7794871794871795,robust,,,,,
baseline,gold,aggressive,MD,0.831174855570434,0.7903780068728523,empirical,,,,,
baseline,gold,aggressive,IF,0.4150445798158691,0.6585034013605443,,0.001,100,,,
baseline,gold,aggressive,IF,0.4150445798158691,0.6585034013605443,,0.01,100,,,
baseline,gold,aggressive,IF,0.4150445798158691,0.6585034013605443,,0.05,100,,,
baseline,gold,aggressive,OCSVM,0.5271056588503666,0.6585034013605443,,,,0.01,rbf,scale
baseline,gold,aggressive,OCSVM,0.5199393104004899,0.6585034013605443,,,,0.05,rbf,scale
baseline,gold,aggressive,OCSVM,0.5044638420573828,0.6585034013605443,,,,0.1,rbf,scale
baseline,gold,aggressive,OCSVM,0.5821695784253553,0.6832844574780059,,,,0.05,linear,scale
baseline,gold,mild,MD,0.8111056375759278,0.7712854757929883,robust,,,,,
baseline,gold,mild,MD,0.8569567282533558,0.7925233644859812,empirical,,,,,
baseline,gold,mild,IF,0.412612227241142,0.6666666666666666,,0.001,100,,,
baseline,gold,mild,IF,0.412612227241142,0.6666666666666666,,0.01,100,,,
baseline,gold,mild,IF,0.412612227241142,0.6666666666666666,,0.05,100,,,
baseline,gold,mild,OCSVM,0.5349497642335908,0.6657929226736565,,,,0.01,rbf,scale
baseline,gold,mild,OCSVM,0.517516305074037,0.6657929226736565,,,,0.05,rbf,scale
baseline,gold,mild,OCSVM,0.49998373260464435,0.6657929226736565,,,,0.1,rbf,scale
baseline,gold,mild,OCSVM,0.5738045994056924,0.6884779516358465,,,,0.05,linear,scale
baseline,gold,none,MD,0.7167776515155575,0.7204968944099378,robust,,,,,
baseline,gold,none,MD,0.7966670655392194,0.7703703703703704,empirical,,,,,
baseline,gold,none,IF,0.34343619188228564,0.6243602865916069,,0.001,100,,,
baseline,gold,none,IF,0.34343619188228564,0.6243602865916069,,0.01,100,,,
baseline,gold,none,IF,0.34343619188228564,0.6243602865916069,,0.05,100,,,
baseline,gold,none,OCSVM,0.5194979420783021,0.6243602865916069,,,,0.01,rbf,scale
baseline,gold,none,OCSVM,0.5011728693809591,0.6243602865916069,,,,0.05,rbf,scale
baseline,gold,none,OCSVM,0.46831403249156695,0.6243602865916069,,,,0.1,rbf,scale
baseline,gold,none,OCSVM,0.5077148561573432,0.633788037775446,,,,0.05,linear,scale
robustness,gold,aggressive,MD,0.9296161725066071,0.9294465568229826,robust,,,,,
robustness,gold,aggressive,MD,0.9501190562018771,0.9324208725406331,empirical,,,,,
robustness,gold,aggressive,IF,0.7124195238351025,0.8985038414880712,,0.001,100,,,
robustness,gold,aggressive,IF,0.7124195238351025,0.8985038414880712,,0.01,100,,,
robustness,gold,aggressive,IF,0.7124195238351025,0.8985038414880712,,0.05,100,,,
robustness,gold,aggressive,OCSVM,0.7935467637860564,0.8985038414880712,,,,0.01,rbf,scale
robustness,gold,aggressive,OCSVM,0.7882952961267164,0.8985038414880712,,,,0.05,rbf,scale
robustness,gold,aggressive,OCSVM,0.7797799826492939,0.8985038414880712,,,,0.1,rbf,scale
robustness,gold,aggressive,OCSVM,0.8130890782287308,0.8988673139158576,,,,0.05,linear,scale
robustness,gold,mild,MD,0.9414097209254209,0.9292433537832311,robust,,,,,
robustness,gold,mild,MD,0.9574117458475004,0.935523613963039,empirical,,,,,
robustness,gold,mild,IF,0.7132250281333552,0.8997247345654737,,0.001,100,,,
robustness,gold,mild,IF,0.7132250281333552,0.8997247345654737,,0.01,100,,,
robustness,gold,mild,IF,0.7132250281333552,0.8997247345654737,,0.05,100,,,
robustness,gold,mild,OCSVM,0.7974953050303482,0.8997247345654737,,,,0.01,rbf,scale
robustness,gold,mild,OCSVM,0.7885640774867491,0.8997247345654737,,,,0.05,rbf,scale
robustness,gold,mild,OCSVM,0.7779789120291452,0.8997247345654737,,,,0.1,rbf,scale
robustness,gold,mild,OCSVM,0.8068997668737921,0.8997247345654737,,,,0.05,linear,scale
robustness,gold,none,MD,0.9016520384589315,0.9062968515742129,robust,,,,,
robustness,gold,none,MD,0.9325871844982739,0.9145880574452003,empirical,,,,,
robustness,gold,none,IF,0.6347400145832782,0.8695343050124423,,0.001,100,,,
robustness,gold,none,IF,0.6347400145832782,0.8695343050124423,,0.01,100,,,
robustness,gold,none,IF,0.6347400145832782,0.8695343050124423,,0.05,100,,,
robustness,gold,none,OCSVM,0.7533555291042311,0.8695343050124423,,,,0.01,rbf,scale
robustness,gold,none,OCSVM,0.7419327517890946,0.8695343050124423,,,,0.05,rbf,scale
robustness,gold,none,OCSVM,0.7209173608259737,0.8695343050124423,,,,0.1,rbf,scale
robustness,gold,none,OCSVM,0.7616327225954161,0.8701529704731412,,,,0.05,linear,scale
