scenario,filter,model,params,val_f1,val_threshold,test_f1,test_precision,test_recall,test_roc_auc,test_auprc
baseline,aggressive,Mahalanobis,{'method': 'empirical'},0.20588235294117646,24379.40486861159,0.1732283464566929,0.13580246913580246,0.2391304347826087,0.7095089146074445,0.11119711403993475
baseline,aggressive,Mahalanobis,{'method': 'robust'},0.17801047120418845,55283.807813933774,0.15980629539951574,0.08991825613079019,0.717391304347826,0.6714732561776666,0.10212518507798879
baseline,aggressive,IsolationForest,"{'n_estimators': 100, 'max_samples': 'auto', 'contamination': 'auto'}",0.15384615384615383,-0.02915913388253566,0.06779661016949153,0.15384615384615385,0.043478260869565216,0.39565217391304347,0.05288378376259356
baseline,aggressive,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'contamination': 'auto'}",0.14342629482071712,-0.08429880885656615,0.09244992295839753,0.04975124378109453,0.6521739130434783,0.40678761338755076,0.050686972657473156
baseline,aggressive,IsolationForest,"{'n_estimators': 300, 'max_samples': 'auto', 'contamination': 'auto'}",0.145985401459854,-0.09041090381234335,0.09735744089012517,0.05200594353640416,0.7608695652173914,0.40847669690334687,0.05140983801548803
baseline,aggressive,IsolationForest,"{'n_estimators': 100, 'max_samples': 0.8, 'contamination': 'auto'}",0.14652014652014653,-0.10474131894733957,0.09195402298850575,0.04923076923076923,0.6956521739130435,0.36759461995620896,0.04970394274130021
baseline,aggressive,IsolationForest,"{'n_estimators': 100, 'max_samples': 0.6, 'contamination': 'auto'}",0.1506849315068493,-0.07365245995451292,0.07065217391304347,0.040372670807453416,0.2826086956521739,0.36640600563027836,0.04898859978927418
baseline,aggressive,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.8, 'contamination': 'auto'}",0.1518987341772152,-0.04809562050587274,0.08823529411764706,0.056962025316455694,0.1956521739130435,0.41585861745386304,0.05736124777612624
baseline,aggressive,IsolationForest,"{'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.5, 'contamination': 'auto'}",0.16666666666666669,-0.02569234616239796,0.0,0.0,0.0,0.3977166093212387,0.054281605850989956
baseline,aggressive,OCSVM,"{'nu': 0.01, 'kernel': 'rbf', 'gamma': 'scale'}",0.18749999999999997,0.1051599278217692,0.1643835616438356,0.2222222222222222,0.13043478260869565,0.39565217391304347,0.08897790139587561
