text,analyzed_token,true_label,pred_label,prob_anomaly,error_category,model,scenario
Obžalovaný byl zproštěn viny v plném rozsahu.,plném,0.0,0.0,0.0408828156258482,TN,SVM (RBF),S1e
"Město zasáhlo neúprosné peklo léta, které nemá v posledních dekádách obdoby.",peklo,1.0,1.0,0.9999878004455847,TP,SVM (RBF),S1e
"K referendu, které se ve městě konalo v sobotu, nepřišlo dost lidí.",konalo,0.0,0.0,0.0007410180910829861,TN,SVM (RBF),S1e
Tento program pro znevýhodněné babičky je velmi důležitý pro celou populaci.,populaci,0.0,0.0,0.00025716534616100417,TN,SVM (RBF),S1e
"Izraelská armáda následně provedla rázný úder na pozice, odkud byly střely vypáleny.",rázný,1.0,1.0,0.9912675121435889,TP,SVM (RBF),S1e
"Rozhodnutí bylo zbabělé, ministr měl bojovat až do samotného konce.",zbabělé,1.0,1.0,0.9999996360983369,TP,SVM (RBF),S1e
"Podle Místopředsedkyně ANO Alena Schillerová v návrhu rozpočtu chybí 38 miliard korun na dopravní infrastrukturu, 32 miliard na mandatorní výdaje ministerstva práce a sociálních věcí a sedm miliard na spolufinancování zemědělství.",miliard,0.0,0.0,0.003755115983634164,TN,SVM (RBF),S1e
Mediální bitva o hlasy voličů eskalovala během posledních dvou dnů.,eskalovala,0.0,0.0,0.0019351690424164476,TN,SVM (RBF),S1e
"Zpráva uvádí, že na východě země bylo zaznamenáno řada porušení mezinárodního humanitárního práva.",řada,1.0,1.0,0.9962236606921531,TP,SVM (RBF),S1e
Asistent trenéra opustí tým hned po podpisu ukončení smlouvy.,tým,0.0,0.0,0.0001068806647414988,TN,SVM (RBF),S1e
Asistent trenéra opustí tým hned po podpisu ukončení smlouvy.,podpisu,0.0,0.0,0.01020396153319878,TN,SVM (RBF),S1e
"Velký favorit večera, herec Robert Smith, si nakonec odnesl kýžené zlato za nejlepší mužský herecký výkon v hlavní roli.",zlato,1.0,1.0,0.8645263277834142,TP,SVM (RBF),S1e
Případ na vládním resrotu je největším skandálem posledních let.,let,0.0,1.0,0.5648587523360028,FP,SVM (RBF),S1e
"Při čelním střetu se vozy doslova drtily do sebe, svědci popisovali hrozivý zvuk.",drtily,1.0,1.0,0.9999990656706335,TP,SVM (RBF),S1e
Kvalita poskytovaných služeb je však tristní.,tristní,1.0,1.0,0.9686099300234114,TP,SVM (RBF),S1e
Návrh zavádí složitý systém tzv. hedge fondů a jejich odpisů.,složitý,0.0,0.0,0.006464007911673828,TN,SVM (RBF),S1e
